日付,商品名,カテゴリ,地域,数量,単価,売上金額
2026-07-01,カフェオレベース,食品,その他,3,980,2940
2026-07-01,タンブラー,雑貨,札幌,4,2800,11200
2026-07-01,ドリップコーヒー12杯,食品,東京,1,1200,1200
2026-07-01,ギフトセット,ギフト,その他,3,4500,13500
2026-07-01,定期便（月1）,サブスク,大阪,4,3600,14400
2026-07-01,マグカップ,雑貨,札幌,5,1800,9000
2026-07-02,ドリップコーヒー12杯,食品,その他,2,1200,2400
2026-07-02,コーヒー豆200g,食品,大阪,1,1500,1500
2026-07-02,タンブラー,雑貨,名古屋,2,2800,5600
2026-07-02,定期便（月1）,サブスク,大阪,1,3600,3600
2026-07-02,カフェオレベース,食品,大阪,2,980,1960
2026-07-03,カフェオレベース,食品,東京,1,980,980
2026-07-03,マグカップ,雑貨,名古屋,3,1800,5400
2026-07-03,マグカップ,雑貨,名古屋,2,1800,3600
2026-07-03,ギフトセット,ギフト,名古屋,1,4500,4500
2026-07-04,マグカップ,雑貨,その他,5,1800,9000
2026-07-04,ドリップパックギフト,ギフト,福岡,3,3200,9600
2026-07-04,コーヒー豆200g,食品,東京,4,1500,6000
2026-07-05,ドリップパックギフト,ギフト,名古屋,5,3200,16000
2026-07-05,カフェオレベース,食品,その他,1,980,980
2026-07-05,定期便（月1）,サブスク,福岡,4,3600,14400
2026-07-05,ドリップパックギフト,ギフト,福岡,2,3200,6400
2026-07-05,ギフトセット,ギフト,大阪,5,4500,22500
2026-07-05,ギフトセット,ギフト,東京,4,4500,18000
2026-07-06,ドリップコーヒー12杯,食品,東京,5,1200,6000
2026-07-06,マグカップ,雑貨,東京,1,1800,1800
2026-07-06,ギフトセット,ギフト,札幌,1,4500,4500
2026-07-06,ギフトセット,ギフト,その他,5,4500,22500
2026-07-06,カフェオレベース,食品,名古屋,4,980,3920
2026-07-06,コーヒー豆200g,食品,東京,3,1500,4500
2026-07-07,ギフトセット,ギフト,名古屋,2,4500,9000
2026-07-07,ドリップパックギフト,ギフト,その他,3,3200,9600
2026-07-07,定期便（月1）,サブスク,札幌,4,3600,14400
2026-07-07,定期便（月1）,サブスク,名古屋,2,3600,7200
2026-07-07,定期便（月1）,サブスク,東京,3,3600,10800
2026-07-07,定期便（月1）,サブスク,名古屋,5,3600,18000
2026-07-08,マグカップ,雑貨,その他,3,1800,5400
2026-07-08,タンブラー,雑貨,名古屋,2,2800,5600
2026-07-08,カフェオレベース,食品,福岡,4,980,3920
2026-07-08,定期便（月1）,サブスク,名古屋,4,3600,14400
2026-07-08,定期便（月1）,サブスク,その他,1,3600,3600
2026-07-09,コーヒー豆200g,食品,名古屋,3,1500,4500
2026-07-09,カフェオレベース,食品,大阪,3,980,2940
2026-07-09,マグカップ,雑貨,大阪,3,1800,5400
2026-07-09,コーヒー豆200g,食品,その他,5,1500,7500
2026-07-09,マグカップ,雑貨,札幌,4,1800,7200
2026-07-09,コーヒー豆200g,食品,札幌,5,1500,7500
2026-07-10,マグカップ,雑貨,名古屋,2,1800,3600
2026-07-10,マグカップ,雑貨,札幌,1,1800,1800
2026-07-10,ドリップコーヒー12杯,食品,その他,2,1200,2400
2026-07-10,定期便（月1）,サブスク,名古屋,3,3600,10800
2026-07-10,マグカップ,雑貨,福岡,1,1800,1800
2026-07-10,ドリップパックギフト,ギフト,福岡,3,3200,9600
2026-07-10,タンブラー,雑貨,東京,1,2800,2800
2026-07-11,ドリップパックギフト,ギフト,札幌,3,3200,9600
2026-07-11,カフェオレベース,食品,名古屋,4,980,3920
2026-07-11,ドリップコーヒー12杯,食品,大阪,2,1200,2400
2026-07-12,ドリップコーヒー12杯,食品,福岡,1,1200,1200
2026-07-12,ドリップパックギフト,ギフト,大阪,5,3200,16000
2026-07-12,ギフトセット,ギフト,大阪,5,4500,22500
2026-07-12,ドリップコーヒー12杯,食品,福岡,3,1200,3600
2026-07-13,ドリップコーヒー12杯,食品,その他,3,1200,3600
2026-07-13,カフェオレベース,食品,大阪,1,980,980
2026-07-13,定期便（月1）,サブスク,札幌,1,3600,3600
2026-07-13,タンブラー,雑貨,札幌,1,2800,2800
2026-07-13,タンブラー,雑貨,名古屋,3,2800,8400
2026-07-13,ドリップコーヒー12杯,食品,大阪,4,1200,4800
2026-07-14,カフェオレベース,食品,大阪,1,980,980
2026-07-14,ギフトセット,ギフト,東京,2,4500,9000
2026-07-14,ドリップパックギフト,ギフト,大阪,1,3200,3200
2026-07-14,定期便（月1）,サブスク,東京,5,3600,18000
2026-07-14,カフェオレベース,食品,その他,1,980,980
2026-07-14,カフェオレベース,食品,札幌,1,980,980
2026-07-15,定期便（月1）,サブスク,大阪,5,3600,18000
2026-07-15,マグカップ,雑貨,名古屋,2,1800,3600
2026-07-15,ドリップパックギフト,ギフト,東京,5,3200,16000
2026-07-15,タンブラー,雑貨,その他,4,2800,11200
2026-07-15,ドリップパックギフト,ギフト,札幌,5,3200,16000
2026-07-15,タンブラー,雑貨,札幌,4,2800,11200
2026-07-16,ドリップパックギフト,ギフト,名古屋,4,3200,12800
2026-07-16,ドリップコーヒー12杯,食品,大阪,4,1200,4800
2026-07-16,タンブラー,雑貨,名古屋,5,2800,14000
2026-07-17,定期便（月1）,サブスク,大阪,4,3600,14400
2026-07-17,ギフトセット,ギフト,大阪,1,4500,4500
2026-07-17,カフェオレベース,食品,札幌,2,980,1960
2026-07-17,定期便（月1）,サブスク,その他,5,3600,18000
2026-07-17,ギフトセット,ギフト,名古屋,3,4500,13500
2026-07-18,ドリップコーヒー12杯,食品,東京,2,1200,2400
2026-07-18,定期便（月1）,サブスク,大阪,1,3600,3600
